country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
CHN,China,Xitieshan II,WRI1025950,30.0,37.28,95.513,Solar,,,,,CGN Solar Energy Development Co. Ltd.,UNFCCC CDM,https://cdm.unfccc.int/filestorage/H/W/C/HWCM43QLUPRD8BOKT6VFG2I0SEZ1J7/PDD-xitieshan%20II-20120316.pdf?t=cUh8b2o5c3I1fDDzaLUmQ2kIJ1HCfIJjBDA3,,,,,,,,,,,,53.71,53.78,52.12,53.88,52.64,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
CHN,China,Xitieshan Phase III,WRI1025952,60.0,37.31,95.451,Solar,,,,,CGN Solar Energy Development Co. Ltd.,UNFCCC CDM,http://cdm.unfccc.int/UserManagement/FileStorage/1PICEA0TJ7HQ2NKBOZ8U9GSFLDY6MV,,,,,,,,,,,,109.04,107.53,104.31,108.07,105.68,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
CHN,China,Xitumen A,WKS0073311,10.0,34.326,113.405,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,17.09,17.45,17.69,17.42,17.64,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
CHN,China,Xiushan,WKS0069783,19.0,30.148,122.153,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,35.74,34.83,32.93,32.38,33.88,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
CHN,China,Xiwu Banner Bayanwula Wind,WRI1072094,49.0,44.4145,118.0212,Wind,,,,,,UNFCCC CDM Registry,https://cdm.unfccc.int/Projects/redirector?ref=6157,UNFCCC CDM Registry,,,,,,,,,,,,,,,90.92,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Xiwuqi Gaolihan Wind,WRI1072006,49.0,45.065,118.445,Wind,,,,,,UNFCCC CDM Registry,https://cdm.unfccc.int/Projects/redirector?ref=5918,UNFCCC CDM Registry,,,,,,,,,,,,,,,90.92,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Xixia Ningxia power station,WRI1070197,1100.0,38.4439,106.1258,Coal,,,,2014.0,Xixia Ningxia Power Station,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,5359.95,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Xixiang County Qujiangdong,WRI1072476,10.0,32.6139,107.4692,Hydro,,,,,,UNFCCC CDM Registry,https://cdm.unfccc.int/Projects/redirector?ref=7306,UNFCCC CDM Registry,,,,,,,,,,,24.04,40.5,40.5,36.85,39.57,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
CHN,China,Xiying River Shuangyaowan I,WRI1071502,5.0,37.909,102.205,Hydro,,,,,,UNFCCC CDM Registry,https://cdm.unfccc.int/Projects/redirector?ref=4129,UNFCCC CDM Registry,1072511,,,,,,,,,,13.75,17.32,17.69,20.63,17.69,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
CHN,China,Xuanen County Guanyinping,WRI1072269,26.0,29.9867,109.7981,Hydro,,,,,,UNFCCC CDM Registry,https://cdm.unfccc.int/Projects/redirector?ref=6717,UNFCCC CDM Registry,,,,,,,,,,,63.95,87.26,87.26,99.75,87.26,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
CHN,China,Xuanen County Shuangxi,WRI1072406,25.0,29.7383,109.5792,Hydro,,,,,,UNFCCC CDM Registry,https://cdm.unfccc.int/Projects/redirector?ref=7115,UNFCCC CDM Registry,1078346,,,,,,,,,,61.49,83.9,83.9,95.92,83.9,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
CHN,China,Xuanhua A,WKS0071671,25.0,40.422,114.79,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,38.01,36.64,37.42,38.32,37.69,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
CHN,China,Xuanhua B,WKS0071672,5.0,40.455,114.811,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,7.81,7.62,7.54,7.83,7.71,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
